GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Flight Service,com.flightapp.flight.service,FlightServiceImpl,3,178,3,3,0,33,3,15,0,15
Flight Service,com.flightapp.flight.controller,FlightController,0,45,0,0,0,9,0,7,0,7
Flight Service,com.flightapp.flight.controller,AuthController,0,51,0,4,0,14,0,5,0,3
